Reviews,ID,Rating,Product
"i have never purchased anything from apple.  being on the phone for hours each day having a nice pair of earphone is very important to me.  friends recommended me getting airpods and i think it is  probably the best on the market when it comes to comfort level, noise reduction and battery power.  i wouldn't use it to for music listening since the sound quality can't compare with bose.  it's a must have device if you're on the phone for hours each day.",84,positive,Apple AirPods (2nd Generation)
excelentes,85,positive,Apple AirPods (2nd Generation)
love these airpods! don’t know what took me so long to purchase!,86,positive,Apple AirPods (2nd Generation)
,87,positive,Apple AirPods (2nd Generation)
"
                    the media could not be loaded.
                ",88,positive,Apple AirPods (2nd Generation)
 this cancels out noise so well and these are recommended!!,89,positive,Apple AirPods (2nd Generation)
megusto,90,positive,Apple AirPods (2nd Generation)
"this product fits my ears perfectly, and carries the sound i need. great buy!",91,positive,Apple AirPods (2nd Generation)
very easy to pair to phone and mac phone. i used it for dance and exercise. they don't fall out.,92,positive,Apple AirPods (2nd Generation)
got exactly what i ordered in brand new condition. thank you!,93,positive,Apple AirPods (2nd Generation)
"the features are awesome!  announces and reads your text messages automatically, announces calls, let’s you control your music by simply tapping each air pod.  amazing sound and comfort.",94,positive,Apple AirPods (2nd Generation)
work wonderfully and a great price can use them with any device,95,positive,Apple AirPods (2nd Generation)
just perfect.,96,positive,Apple AirPods (2nd Generation)
i love these.,97,positive,Apple AirPods (2nd Generation)
overall it’s a good product but i constantly have issues connecting it to my phone. when i take one of the pods out of the case and put it in my ear it never connects to the phone i typically have to end the call and connect the pods then call the person back for it to function properly,98,positive,Apple AirPods (2nd Generation)
legit these dont have noise cancelation though they are still very good loud and sounds great,99,positive,Apple AirPods (2nd Generation)
"i give these airpods a 5/5 stars because they are excellent :) they have a very long battery life and they are actually noise canceling, even with one airpod in your ear. i had airpod pros before i brought these but lost them back in february, and i actually like these better than the pros because they don’t feel heavy in your ear. airpod pros are smaller than these, so they’re more likely to fall out your ear. with these, they stay in your ear without feeling so heavy, and won’t have to worry about them falling out! only downside i have about these airpods are that after about 2 months, my left airpod sounded a little low. but that’s nothing a little setting adjusting won’t fix :) overall these are excellent headphones!",100,positive,Apple AirPods (2nd Generation)
,101,positive,Apple AirPods (2nd Generation)
they came so early but the work perfectly and i’m so happy i have airpods now it was worth the money,102,positive,Apple AirPods (2nd Generation)
"it’s worth the money if ur not a person who loses things easily, cause if so just buy a downgrade. your bank account would be better off that way lol.",103,positive,Apple AirPods (2nd Generation)
this is a genuine apple product. quality is as expected,104,positive,Apple AirPods (2nd Generation)
work great,105,positive,Apple AirPods (2nd Generation)
sound quality is much better.,106,positive,Apple AirPods (2nd Generation)
there great my only issue is the charger didn’t work when i got it,107,positive,Apple AirPods (2nd Generation)
"i love these, literally amazon always make sure i receive these the very next day.",108,positive,Apple AirPods (2nd Generation)
all the bang for the buck!,109,positive,Apple AirPods (2nd Generation)
great item to use. easier access. fits well in ears. comfortable.,110,positive,Apple AirPods (2nd Generation)
daughter loves them. brand name stuff!!,111,positive,Apple AirPods (2nd Generation)
recommended,112,positive,Apple AirPods (2nd Generation)
product is fantastic.  great sound and high quality.,113,positive,Apple AirPods (2nd Generation)
the sound quality is amazing,114,positive,Apple AirPods (2nd Generation)
works great sounds fantastic. lots of nice little features that make it a full experience.,115,positive,Apple AirPods (2nd Generation)
use for hands free driving. long battery life and fast recharge.,116,positive,Apple AirPods (2nd Generation)
"get the real ones, the good ones, these are it.  apple is the originator. enough said.",117,positive,Apple AirPods (2nd Generation)
"perfect fine airpods, don’t mind having the first gen there’s no major difference. i will say the 2nd gen has the battery light on the outside not the inside that’s how i know it’s not 2nd gen, all in all they work fine glad i got them",118,positive,Apple AirPods (2nd Generation)
no dislike at all  satisfied!,119,positive,Apple AirPods (2nd Generation)
wonderful sound and fit comfortably.,120,positive,Apple AirPods (2nd Generation)
"sounds great, light, charges quickly.",121,positive,Apple AirPods (2nd Generation)
still working great with great quality sound and noise cancellation works well.,122,positive,Apple AirPods (2nd Generation)
love these! works wonders!,123,positive,Apple AirPods (2nd Generation)
good,124,positive,Apple AirPods (2nd Generation)
"i had the beat flex headset but people couldn’t hear me when i talked on the phone. bought these airpods and they have been a game changer! people can finally hear me and i don’t need to worry about wires either, i love them and highly recommend them",125,positive,Apple AirPods (2nd Generation)
"easy to connect with other apple products, sound quality is good battery life is adequate, are there better options? probably.these work well and meet my needs though at a reasonable price. i can confirm they do not survive a trip through the washing machine though",126,positive,Apple AirPods (2nd Generation)
👍,127,positive,Apple AirPods (2nd Generation)
very good noise cancellation. i can have any conversation at any place and the noise won’t be a problem. i only char it every three days if so. the music and videos that i listen to are loud and clear. i am very happy with my airpods.,128,positive,Apple AirPods (2nd Generation)
worked great! bought 2 pairs as gifts for my kids! love them!,129,positive,Apple AirPods (2nd Generation)
very awesome airpods. mine are 2 years old now so the battery is horrible only last like 1 hr now or right one 30 minutes 😭 but you know very typical of apple products 🥱🥱,130,positive,Apple AirPods (2nd Generation)
great price but the battery seems to drain faster to me.,131,positive,Apple AirPods (2nd Generation)
been waiting to get airpods for a while and now i wish i had got them sooner,132,positive,Apple AirPods (2nd Generation)
i love these airpods. they are genuine and have been great for months. no complaints. the battery life is pretty decent. they are super convenient when i’m on the go. i trust buying them through amazon. but please watch out buying counterfeit ones on certain websites.,133,positive,Apple AirPods (2nd Generation)
"work great with all the features. battery life can always get a little better but it is an improvement from the first gen i had. i enjoy them lots, worth the money.",134,positive,Apple AirPods (2nd Generation)
these were for my wife and she loves them.,135,positive,Apple AirPods (2nd Generation)
me dejaron otra fotografía y pensé que se habían equivocado de domicilio,136,positive,Apple AirPods (2nd Generation)
,137,positive,Apple AirPods (2nd Generation)
"son originales, muy buen empaque y me funcionan perfectos",138,positive,Apple AirPods (2nd Generation)
,139,positive,Apple AirPods (2nd Generation)
"criteria: sound quality, battery, and charge timesound quality: 4 of 5 cuts in and out when low on batterybattery: 3 of 5 only lasts 3 hours after 2 months of usecharge time: 5 of 5 only takes 30 minutes to fully chargeoverall: 4 of 5  these airpods are honestly overpriced for what you get. skullcandy does the same thing for a fraction of the price. sure it may not be the coolest thing but it’s definitely more bang for your buck.",140,positive,Apple AirPods (2nd Generation)
air pods are great. went the cheap/knock off route originally. big mistake,141,positive,Apple AirPods (2nd Generation)
loved them!,142,positive,Apple AirPods (2nd Generation)
i had bought several pairs of brand  x trying to save money - but gave up! these are perfect.,143,positive,Apple AirPods (2nd Generation)
"got these for my daughter, she loves them",144,positive,Apple AirPods (2nd Generation)
good quality,145,positive,Apple AirPods (2nd Generation)
the noise cancellation is great and the quality it’s amazing,146,positive,Apple AirPods (2nd Generation)
nothing! for listening to music,147,positive,Apple AirPods (2nd Generation)
great product,148,positive,Apple AirPods (2nd Generation)
can't go on walks without them!,149,positive,Apple AirPods (2nd Generation)
great headphones. came in brand new box with a real apple charger. love then,150,positive,Apple AirPods (2nd Generation)
"they were ok, wish i would've gotten from best buy instead tho",151,positive,Apple AirPods (2nd Generation)
cumplen con las características técnicas indicadas,152,positive,Apple AirPods (2nd Generation)
,153,positive,Apple AirPods (2nd Generation)
"i tried these 2nd generation airpods, and i prefer them to the ""pro"" model.  they fit my ears better, so no more drops",154,positive,Apple AirPods (2nd Generation)
love the way they put the voice clear and in my ear.,155,positive,Apple AirPods (2nd Generation)
these are great headphones. they are good quality but not a great fit for my ears. they always feel like they're about to fall out. i also have to turn the volume all the way up in order to hear while i'm on the treadmill. i'm guessing if they fit in my ears better i wouldn't have to do that. other than that i love them. i love the charging case too.,156,positive,Apple AirPods (2nd Generation)
"i bought some airpods because i really did need them, i love musiccc. whenever i am at work, or doing something productive, i like to listen to music while doing so. quality a+. also, apple care comes in handy as well. my right one accidentally got ran over, and with my apple care, apple replaced it within no time. so, thank you.",157,positive,Apple AirPods (2nd Generation)
i really like the air pods 😌,158,positive,Apple AirPods (2nd Generation)
i used it for everything.it’s awesome,159,positive,Apple AirPods (2nd Generation)
"honestly the hype regarding the newest airpods haven’t gotten the greatest reviews. these have. they literally stay in your ear, many other brands don’t. that’s a huge plus. they’re convenient to use when you’ve got the apple watch and the iphone and these. i would never spend another hundred bucks for a product that my friends complain about. they mostly say that the new ones fail because they fall out of their ears. that’s extremely annoying. anyway keep your money and get these they work great. great battery life. 💓",160,positive,Apple AirPods (2nd Generation)
all good happywith this one,161,positive,Apple AirPods (2nd Generation)
battery life is incredible. sound is awesome. easy to use- have to tap a couple times to fast forward through song- maybe that’s just me. so happy with purchase.,162,positive,Apple AirPods (2nd Generation)
had it for awhile and loved it,163,positive,Apple AirPods (2nd Generation)
great.,164,positive,Apple AirPods (2nd Generation)
these are perfect!,165,positive,Apple AirPods (2nd Generation)
,166,positive,Apple AirPods (2nd Generation)
"
                    the media could not be loaded.
                ",167,positive,Apple AirPods (2nd Generation)
 todo me ágrado,168,positive,Apple AirPods (2nd Generation)
,169,positive,Apple AirPods (2nd Generation)
"seems to good to be true, a little dirty when arriving kinda nasty on the inside of the case. everything was there and they haven't broken yet (i've had them since april). makes traveling and talking on the phone way easier! solid product",170,positive,Apple AirPods (2nd Generation)
perfect gift for a 14yo boy.,171,positive,Apple AirPods (2nd Generation)
this sound great! i have had them for a couple years now and i love them. the only thing i will say is they don't always stay in my ears so i had to get an cord to link them together so when one falls out it stays around my neck.,172,positive,Apple AirPods (2nd Generation)
if you run be careful for then falling out. great sound and great quality.,173,positive,Apple AirPods (2nd Generation)
saved money on older style air pods.  sound great and good battery life.,174,positive,Apple AirPods (2nd Generation)
what i love about these earbuds is they fit and sound great.,175,positive,Apple AirPods (2nd Generation)
i love it 😍,176,positive,Apple AirPods (2nd Generation)
fits good in ear.,177,positive,Apple AirPods (2nd Generation)
muchas gracias,178,positive,Apple AirPods (2nd Generation)
,179,positive,Apple AirPods (2nd Generation)
twaz good,180,positive,Apple AirPods (2nd Generation)
no noise cancelation for this money,181,positive,Apple AirPods (2nd Generation)
exactly what i expected!,182,positive,Apple AirPods (2nd Generation)
not bad but if looking for a headphone with noise cancellation look else where,183,positive,Apple AirPods (2nd Generation)
disconnect so easily and have great sound. somewhat difficult to pull out of the case.,184,positive,Apple AirPods (2nd Generation)
i love these airpods. i only need to put 1 in to cancel out any background noise. they have long battery life and they came with the airpods and a charger for the airpods. if i lose these ones i’ll definitely be order from here again!,185,positive,Apple AirPods (2nd Generation)
a good sounding solid earbud,186,positive,Apple AirPods (2nd Generation)
todo excelente como todo con amazon,187,positive,Apple AirPods (2nd Generation)
,188,positive,Apple AirPods (2nd Generation)
it finishes fast i think it’s better buy them from apple store,189,positive,Apple AirPods (2nd Generation)
my son loves these!,190,positive,Apple AirPods (2nd Generation)
good,191,positive,Apple AirPods (2nd Generation)
love the rich sound! great value.,192,positive,Apple AirPods (2nd Generation)
ok,193,positive,Apple AirPods (2nd Generation)
"great sound, and long battery life.",194,positive,Apple AirPods (2nd Generation)
muito naice,195,positive,Apple AirPods (2nd Generation)
good,196,positive,Apple AirPods (2nd Generation)
much better than the standing corded ear buds. great sound and easy to use.,197,positive,Apple AirPods (2nd Generation)
i use it to look videos and for call.,198,positive,Apple AirPods (2nd Generation)
bought the first gen when it first came out and the batteries finally gave after years of service. i decided to get another pair and they work great.,199,positive,Apple AirPods (2nd Generation)
"they worked great. just a little uncomfortable, but not much.",200,positive,Apple AirPods (2nd Generation)
how do they know when i put them in my ear???? 😱😱😱,201,positive,Apple AirPods (2nd Generation)
everyone on the bus had these airpods and i just wanted to fit in. so happy that i can now! thank you apple,202,positive,Apple AirPods (2nd Generation)
i used these to go to the gym noise cancellation was a positive ! so easy to have in handy. charger can be used to for i phone too,203,positive,Apple AirPods (2nd Generation)
the only thing i don't like is that the touch isnt working on the pods.,204,positive,Apple AirPods (2nd Generation)
all that you indicate,205,positive,Apple AirPods (2nd Generation)
i love these airpods. the quality of the sound is really good and the battery lifespan is more than 3 days! of course this depends on how often and for how long you use them but still i think it's an excellent product!,206,positive,Apple AirPods (2nd Generation)
"me encantan, sonido increíble,",207,positive,Apple AirPods (2nd Generation)
,208,positive,Apple AirPods (2nd Generation)
i can't believe i waited so long to get these. can't live without them,209,positive,Apple AirPods (2nd Generation)
"i like it, i use it every time i do my walk.i don’t have to worry tackling it.",210,positive,Apple AirPods (2nd Generation)
i have all the bells and whistles in my car but when i'm not i used these for calls. it's much easier than holding a cell phone in your hand while you're walking...the price was about $20 less than at the local best buy.,211,positive,Apple AirPods (2nd Generation)
thanks all is good very fast delivery,212,positive,Apple AirPods (2nd Generation)
"pienso que el manejo operático del producto es muy bueno, sin embargo, lo táctil no se logra entender bien. deben explicar por medio de videos.",213,positive,Apple AirPods (2nd Generation)
,214,positive,Apple AirPods (2nd Generation)
just needed a new pair. forgot how hood they sound new lol,215,positive,Apple AirPods (2nd Generation)
espectacular,216,positive,Apple AirPods (2nd Generation)
,217,positive,Apple AirPods (2nd Generation)
exactly what i was looking for.  would purchase again.,218,positive,Apple AirPods (2nd Generation)
"vale mucho la pena, excelente44 audio y cancelación de sonido",219,positive,Apple AirPods (2nd Generation)
,220,positive,Apple AirPods (2nd Generation)
good item,221,positive,Apple AirPods (2nd Generation)
just what you expect.,222,positive,Apple AirPods (2nd Generation)
👍🏻,223,positive,Apple AirPods (2nd Generation)
1st. pair of wireless ear pods. i love them! great buy,224,positive,Apple AirPods (2nd Generation)
"had the 1st generation ear pods, but always hurt my ears! but these i can work with them almost all day without my ears getting sore!!",225,positive,Apple AirPods (2nd Generation)
these airpods feel very comfortable in my ear versus the airpods pro; the only downfall is the noise cancellation isn't as good as the pro's nor is the battery life.,226,positive,Apple AirPods (2nd Generation)
i loved that i could have conversations while machines are running this was a bonus for me,227,positive,Apple AirPods (2nd Generation)
i really hate the new earbuds that are silicone and dig into your ears. these guys last for what feels like days and are somewhat east to clean.i love the option to turn off ear detection so they are on as soon as you pull them from the case and only take a second to connect to my phone,228,positive,Apple AirPods (2nd Generation)
good,229,positive,Apple AirPods (2nd Generation)
i think this one is one of the best buys i made this year. i replace the very same model from 2021. and i resell the used ones. it happens to maintain the price intact. it is really great.,230,positive,Apple AirPods (2nd Generation)
i like it,231,positive,Apple AirPods (2nd Generation)
connects to the phone perfectly and effortlessly.,232,positive,Apple AirPods (2nd Generation)
like them,233,positive,Apple AirPods (2nd Generation)
love  apple products,234,positive,Apple AirPods (2nd Generation)
these really do make the music clearer. i have had wired earbuds before and these really do improve the sound quality.,235,positive,Apple AirPods (2nd Generation)
"they work, they was easy to connect, and they came to me charged! recommend yes",236,positive,Apple AirPods (2nd Generation)
sounds great,237,positive,Apple AirPods (2nd Generation)
excellent quality.  i am enjoying using them at the gym and on my daily walks.,238,positive,Apple AirPods (2nd Generation)
would definitely buy again….can’t live without them,239,positive,Apple AirPods (2nd Generation)
the quality of the sound was very good. the battery life is long.,240,positive,Apple AirPods (2nd Generation)
great product and easy to use!,241,positive,Apple AirPods (2nd Generation)
they work wonderfully and the price is very reasonable.,242,positive,Apple AirPods (2nd Generation)
"in the 80's i thought apple's computers were novel. since then i avoid apple products for the most part (long story). i recognize their innovation. i purchased a pair of apple's $15 wired pods for the gym, primarily because they were inexpensive. i was impressed with the sound for such an inexpensive price, but the wire from the pods just got in the way at the gym. prior to this purchase i bought another pair of buds, i was sadly disappointed. i figured i'd give the apple pods a try kind of expecting the same sound quality as the wired pods, but wireless. wow, these are so much better, the bass is warm, the mid and highs are crisp but not harsh or fatiguing, these are amazingly good. still not an apple fan, but i do give credit where credit is due. i'd buy these again.",243,positive,Apple AirPods (2nd Generation)
"really reliable, use em everywhere bro bro.",244,positive,Apple AirPods (2nd Generation)
nice ear fit nice sound and loud i highly recommend to spend 100 dollars,245,positive,Apple AirPods (2nd Generation)
"sound quality is exactly the same as the traditional apple earbuds with the wire. wireless sync is a breeze, and the quality of the product is good. if you are looking for a strong bass, this doesn’t have it though. skull-candy, jbl, or beats would be your best bet if you like a lot of bass. the sound quality isn’t bad at all though. 4/5 from me.",246,positive,Apple AirPods (2nd Generation)
sent them back because lost pair was found,247,positive,Apple AirPods (2nd Generation)
sound is great! i use these for music and u tube videos. the mic sound is fair. took a little while to figure out how to set up the mic. i consider myself average tech savvy.,248,positive,Apple AirPods (2nd Generation)
love it. works great,249,positive,Apple AirPods (2nd Generation)
"very clear music and talk, i wish my hearing aids worked this good",250,positive,Apple AirPods (2nd Generation)
i brought these on a whim after deciding not jump on the wagon. i was surprised to find that i like them but i mostly use them at night to listen to content on the way to sleep. i have found they don't maintain a charge for longer than 6-7 hours. other than that- no complaints. decent enough but i've had others that held a charge for at least 24 hours.,251,positive,Apple AirPods (2nd Generation)
"they sound great, are easy to charge and store, the batteries last a very long time, and the noise canceling feature works very well. they are really easy to connect to any device too. but they have a tendency to fall out of my ear, and that costs them a star. maybe it is just my particular ears, but almost every time i use them, one manages to fall out and hit the ground at some point. because of that, i have to be careful where i use them. motorcycle rides and river activities are out of the question. once one fell out while i was on the riding mower, and it took me about ten very stressful minutes to find it. i have since learned that it helps to wrap a bandanna around my head and ears when mowing. unfortunately this isn't a perfect solution either, as the other day one still managed to fall out and hit the ground when mowing. fortunately i found it right away that time.thank goodness they certainly do seem to be very durable. my kid's airpod pros got washed and dried, and they still worked! i heard them clanking around in the drier for 30 minutes, but thought it was just a nickel or something.anyway, for around the house or office they are great. but don't think you can trust them to go anywhere.",252,positive,Apple AirPods (2nd Generation)
much needed but they slip out. slight worries that i’ll loose one or both.,253,positive,Apple AirPods (2nd Generation)
"i use the airpods to listen to music during class, and anywhere i go",254,positive,Apple AirPods (2nd Generation)
awesome,255,positive,Apple AirPods (2nd Generation)
for those saying it was fake!! shame on you for trying to scam the system! karma will find you one way or another!! i was sketchy to purchase based on some reviews! you can return them- if you are not happy with 2nd generation. other than that do not listen to the bogus reviews wanting 100+ dollars back. they are real and work great.  they are not refurbished. but brand new! i love them .scandalous people out there! shame on you! my only complaint is all you  apple users how can you find these comfy?? i bought them for work- business phone came with my incredible job and i need 100% privacy,256,positive,Apple AirPods (2nd Generation)
new and original!!!,257,positive,Apple AirPods (2nd Generation)
great earbuds,258,positive,Apple AirPods (2nd Generation)
good quality,259,positive,Apple AirPods (2nd Generation)
these airpods are very good for everyday usebut don't use it for androids phoneseven after pairing i need to select airpods for every connection,260,positive,Apple AirPods (2nd Generation)
sound quality is good  and love how easy it is to use,261,positive,Apple AirPods (2nd Generation)
i bought a cheap pair at a big box store and they didn't last long.  sometimes quality is worth paying for.  i'm much happier with these.  good sound quality and good battery life.,262,positive,Apple AirPods (2nd Generation)
have to constantly fix in my ears when walking.,263,positive,Apple AirPods (2nd Generation)
"the sound is good and all, just don't drop them because they scratch easily unfortunately.",264,positive,Apple AirPods (2nd Generation)
love it but does not last 5 hours,265,positive,Apple AirPods (2nd Generation)
,266,positive,Apple AirPods (2nd Generation)
"
                    the media could not be loaded.
                ",267,positive,Apple AirPods (2nd Generation)
 everything is wonderful,268,positive,Apple AirPods (2nd Generation)
