reviews,rating,cleaned_review
u hear very very good with the buds. would buy again very happy with them just love them u would enjoy them if u have and iphone. buy them u be happy,positive,u hear good bud would buy happy u would enjoy u iphone buy u happy
i so regret buying these.  they sound great.  but they are no comfortable and they fall out of the ears easily.  once one fell out and almost landed in the toilet.  i bought some sheath to put on them which keeps them in my ears better but still not comfortable and they do still come out slowly.  i will buy bose beats next.  these suck.  im an apple girl but i cannot recommend these.,positive,regret buying sound great comfortable fall ear easily fell almost landed toilet bought sheath put keep ear better still comfortable still come slowly buy bose beat next suck im girl recommend
came same day and just as described multistop ,positive,came day described multistop
love these but noticed that one pod charged and other didnt. used a q-tip to wipe each end and inside the charge case. then made sure that the pods both showed a  on iphone to be sure both were charging. its the only way to make sure!,positive,noticed pod charged didnt used qtip wipe end inside charge case made sure pod showed iphone sure charging way make sure
i havent found a wireless air bud to stay in my ears until now. havent had these long but i love them. i havent figured out song switching well yet. still working on that,positive,havent found wireless air bud stay ear havent long havent figured song switching well yet still working
great product,positive,great product
love them,positive,
love these works perfectly. just wish battery lasted longer,positive,work perfectly wish battery lasted longer
i caught the best deal ever on these earpods. i recommend checking the sales before purchasing.,positive,caught best deal ever earpods recommend checking sale purchasing
i use it for music and gps directions,positive,use music gps direction
"bought these on the fly to use at work, they work great!",positive,bought fly use work work great
super cool,positive,super cool
woks great and good battery life,positive,wok great good battery life
didnt last  months not worth the money,positive,didnt last month worth money
just as advertised!,positive,advertised
excellenti definitely recommend them. im another satisfied listener and a very happy customer.,positive,excellenti definitely recommend im another satisfied listener happy customer
"i am so cheap that i decided i would buy the knockoff versions of these first. bad idea. just get the real thing first time around. these fit well so i do not have to keep adjusting them, they pair easily (to my phone and my computer), the sound quality is good, and when i am on a call or a meeting, i can be easily heard by whoever i am talking to. they are not % noise canceling, but it is good enough. worth the money for the aulity!",positive,cheap decided would buy knockoff version first bad idea get real thing first time around fit well keep adjusting pair easily phone computer sound quality good call meeting easily heard whoever talking noise canceling good enough worth money aulity
"use them every day to listen to pod casts, music and e books. they are very comfortable.",positive,use every day listen pod cast music e book comfortable
"i have never purchased anything from apple.  being on the phone for hours each day having a nice pair of earphone is very important to me.  friends recommended me getting airpods and i think it is  probably the best on the market when it comes to comfort level, noise reduction and battery power.  i would not use it to for music listening since the sound quality cannot compare with bose.  it is a must have device if you are on the phone for hours each day.",positive,never purchased anything phone hour day nice pair earphone important friend recommended getting think probably best market come comfort level noise reduction battery power would use music listening since sound quality compare bose must device phone hour day
excelentes,positive,excelentes
love these airpods! do not know what took me so long to purchase!,positive,know took long purchase
missing,positive,missing
                    the media could not be loaded.                ,positive,medium could loaded
this cancels out noise so well and these are recommended multiexclamation ,positive,cancel noise well recommended multiexclamation
megusto,positive,megusto
"this product fits my ears perfectly, and carries the sound i need. great buy!",positive,product fit ear perfectly carry sound need great buy
very easy to pair to phone and mac phone. i used it for dance and exercise. they do not fall out.,positive,easy pair phone mac phone used dance exercise fall
got exactly what i ordered in brand new condition. thank you!,positive,got exactly ordered brand new condition thank
"the features are awesome!  announces and reads your text messages automatically, announces calls, lets you control your music by simply tapping each air pod.  amazing sound and comfort.",positive,feature awesome announces read text message automatically announces call let control music simply tapping air pod amazing sound comfort
work wonderfully and a great price can use them with any device,positive,work wonderfully great price use device
just perfect.,positive,perfect
i love these.,positive,
overall its a good product but i constantly have issues connecting it to my phone. when i take one of the pods out of the case and put it in my ear it never connects to the phone i typically have to end the call and connect the pods then call the person back for it to function properly,positive,overall good product constantly issue connecting phone take pod case put ear never connects phone typically end call connect pod call person back function properly
legit these do not have noise cancelation though they are still very good loud and sounds great,positive,legit noise cancelation though still good loud sound great
"i give these airpods a / stars because they are excellent :) they have a very long battery life and they are actually noise canceling, even with one airpod in your ear. i had airpod pros before i brought these but lost them back in february, and i actually like these better than the pros because they do not feel heavy in your ear. airpod pros are smaller than these, so theyre more likely to fall out your ear. with these, they stay in your ear without feeling so heavy, and will not have to worry about them falling out! only downside i have about these airpods are that after about  months, my left airpod sounded a little low. but thats nothing a little setting adjusting will not fix :) overall these are excellent headphones!",positive,give star excellent long battery life actually noise canceling even airpod ear airpod pro brought lost back february actually like better pro feel heavy ear airpod pro smaller theyre likely fall ear stay ear without feeling heavy worry falling downside month airpod sounded little low thats nothing little setting adjusting fix overall excellent headphone
missing,positive,missing
they came so early but the work perfectly and im so happy i have airpods now it was worth the money,positive,came early work perfectly im happy worth money
"its worth the money if ur not a person who loses things easily, cause if so just buy a downgrade. your bank account would be better off that way lol.",positive,worth money ur person loses thing easily cause buy downgrade bank account would better way lol
this is a genuine apple product. quality is as expected,positive,genuine product quality expected
work great,positive,work great
sound quality is much better.,positive,sound quality much better
there great my only issue is the charger didnt work when i got it,positive,great issue charger didnt work got
"i love these, literally amazon always make sure i receive these the very next day.",positive,literally amazon always make sure receive next day
all the bang for the buck!,positive,bang buck
great item to use. easier access. fits well in ears. comfortable.,positive,great item use easier access fit well ear comfortable
daughter loves them. brand name stuff multiexclamation ,positive,daughter love brand name stuff multiexclamation
recommended,positive,recommended
product is fantastic.  great sound and high quality.,positive,product fantastic great sound high quality
the sound quality is amazing,positive,sound quality amazing
works great sounds fantastic. lots of nice little features that make it a full experience.,positive,work great sound fantastic lot nice little feature make full experience
use for hands free driving. long battery life and fast recharge.,positive,use hand free driving long battery life fast recharge
"get the real ones, the good ones, these are it.  apple is the originator. enough said.",positive,get real one good one originator enough said
"perfect fine airpods, do not mind having the first gen theres no major difference. i will say the nd gen has the battery light on the outside not the inside thats how i know its not nd gen, all in all they work fine glad i got them",positive,perfect fine mind first gen there major difference say nd gen battery light outside inside thats know nd gen work fine glad got
no dislike at all  satisfied!,positive,dislike satisfied
wonderful sound and fit comfortably.,positive,wonderful sound fit comfortably
"sounds great, light, charges quickly.",positive,sound great light charge quickly
still working great with great quality sound and noise cancellation works well.,positive,still working great great quality sound noise cancellation work well
love these! works wonders!,positive,work wonder
good,positive,good
"i had the beat flex headset but people couldnt hear me when i talked on the phone. bought these airpods and they have been a game changer! people can finally hear me and i do not need to worry about wires either, i love them and highly recommend them",positive,beat flex headset people couldnt hear talked phone bought game changer people finally hear need worry wire either highly recommend
"easy to connect with other apple products, sound quality is good battery life is adequate, are there better options? probably.these work well and meet my needs though at a reasonable price. i can confirm they do not survive a trip through the washing machine though",positive,easy connect product sound quality good battery life adequate better option probablythese work well meet need though reasonable price confirm survive trip washing machine though
,positive,
very good noise cancellation. i can have any conversation at any place and the noise will not be a problem. i only char it every three days if so. the music and videos that i listen to are loud and clear. i am very happy with my airpods.,positive,good noise cancellation conversation place noise problem char every three day music video listen loud clear happy
worked great! bought  pairs as gifts for my kids! love them!,positive,worked great bought pair gift kid
very awesome airpods. mine are  years old now so the battery is horrible only last like  hr now or right one  minutes  but you know very typical of apple products ,positive,awesome mine year old battery horrible last like hr minute know typical product
great price but the battery seems to drain faster to me.,positive,great price battery seems drain faster
been waiting to get airpods for a while and now i wish i had got them sooner,positive,waiting get wish got sooner
i love these airpods. they are genuine and have been great for months. no complaints. the battery life is pretty decent. they are super convenient when im on the go. i trust buying them through amazon. but please watch out buying counterfeit ones on certain websites.,positive,genuine great month complaint battery life pretty decent super convenient im go trust buying amazon please watch buying counterfeit one certain website
"work great with all the features. battery life can always get a little better but it is an improvement from the first gen i had. i enjoy them lots, worth the money.",positive,work great feature battery life always get little better improvement first gen enjoy lot worth money
these were for my wife and she loves them.,positive,wife love
me dejaron otra fotografa y pens que se haban equivocado de domicilio,positive,dejaron otra fotografa pen que se haban equivocado de domicilio
missing,positive,missing
"son originales, muy buen empaque y me funcionan perfectos",positive,son originales muy buen empaque funcionan perfectos
missing,positive,missing
"criteria: sound quality, battery, and charge timesound quality:  of  cuts in and out when low on batterybattery:  of  only lasts  hours after  months of usecharge time:  of  only takes  minutes to fully chargeoverall:  of   these airpods are honestly overpriced for what you get. skullcandy does the same thing for a fraction of the price. sure it may not be the coolest thing but its definitely more bang for your buck.",positive,criterion sound quality battery charge timesound quality cut low batterybattery last hour month usecharge time take minute fully chargeoverall honestly overpriced get skullcandy thing fraction price sure may coolest thing definitely bang buck
air pods are great. went the cheap/knock off route originally. big mistake,positive,air pod great went cheapknock route originally big mistake
loved them!,positive,loved
i had bought several pairs of brand  x trying to save money - but gave up! these are perfect.,positive,bought several pair brand x trying save money gave perfect
"got these for my daughter, she loves them",positive,got daughter love
good quality,positive,good quality
the noise cancellation is great and the quality its amazing,positive,noise cancellation great quality amazing
nothing! for listening to music,positive,nothing listening music
great product,positive,great product
cannot go on walks without them!,positive,go walk without
great headphones. came in brand new box with a real apple charger. love then,positive,great headphone came brand new box real charger
"they were ok, wish i would have gotten from best buy instead tho",positive,ok wish would gotten best buy instead tho
cumplen con las caractersticas tcnicas indicadas,positive,cumplen con la caractersticas tcnicas indicadas
missing,positive,missing
"i tried these nd generation airpods, and i prefer them to the ""pro"" model.  they fit my ears better, so no more drops",positive,tried nd generation prefer pro model fit ear better drop
love the way they put the voice clear and in my ear.,positive,way put voice clear ear
these are great headphones. they are good quality but not a great fit for my ears. they always feel like they are about to fall out. i also have to turn the volume all the way up in order to hear while i am on the treadmill. i am guessing if they fit in my ears better i would not have to do that. other than that i love them. i love the charging case too.,positive,great headphone good quality great fit ear always feel like fall also turn volume way order hear treadmill guessing fit ear better would charging case
"i bought some airpods because i really did need them, i love musiccc. whenever i am at work, or doing something productive, i like to listen to music while doing so. quality a+. also, apple care comes in handy as well. my right one accidentally got ran over, and with my apple care, apple replaced it within no time. so, thank you.",positive,bought really need musiccc whenever work something productive like listen music quality also care come handy well accidentally got ran care replaced within time thank
i really like the air pods ,positive,really like air pod
i used it for everything.its awesome,positive,used everythingits awesome
"honestly the hype regarding the newest airpods havent gotten the greatest reviews. these have. they literally stay in your ear, many other brands do not. thats a huge plus. theyre convenient to use when youve got the apple watch and the iphone and these. i would never spend another hundred bucks for a product that my friends complain about. they mostly say that the new ones fail because they fall out of their ears. thats extremely annoying. anyway keep your money and get these they work great. great battery life. ",positive,honestly hype regarding newest havent gotten greatest review literally stay ear many brand thats huge plus theyre convenient use youve got watch iphone would never spend another hundred buck product friend complain mostly say new one fail fall ear thats extremely annoying anyway keep money get work great great battery life
all good happywith this one,positive,good happywith
battery life is incredible. sound is awesome. easy to use- have to tap a couple times to fast forward through song- maybe thats just me. so happy with purchase.,positive,battery life incredible sound awesome easy use tap couple time fast forward song maybe thats happy purchase
had it for awhile and loved it,positive,awhile loved
great.,positive,great
these are perfect!,positive,perfect
missing,positive,missing
                    the media could not be loaded.                ,positive,medium could loaded
todo me grado,positive,todo grado
missing,positive,missing
"seems to good to be true, a little dirty when arriving kinda nasty on the inside of the case. everything was there and they have not broken yet (i have had them since april). makes traveling and talking on the phone way easier! solid product",positive,seems good true little dirty arriving kinda nasty inside case everything broken yet since april make traveling talking phone way easier solid product
perfect gift for a yo boy.,positive,perfect gift yo boy
this sound great! i have had them for a couple years now and i love them. the only thing i will say is they do not always stay in my ears so i had to get an cord to link them together so when one falls out it stays around my neck.,positive,sound great couple year thing say always stay ear get cord link together fall stay around neck
if you run be careful for then falling out. great sound and great quality.,positive,run careful falling great sound great quality
saved money on older style air pods.  sound great and good battery life.,positive,saved money older style air pod sound great good battery life
what i love about these earbuds is they fit and sound great.,positive,earbuds fit sound great
i love it ,positive,
fits good in ear.,positive,fit good ear
muchas gracias,positive,muchas gracias
missing,positive,missing
twaz good,positive,twaz good
no noise cancelation for this money,positive,noise cancelation money
exactly what i expected!,positive,exactly expected
not bad but if looking for a headphone with noise cancellation look else where,positive,bad looking headphone noise cancellation look else
disconnect so easily and have great sound. somewhat difficult to pull out of the case.,positive,disconnect easily great sound somewhat difficult pull case
i love these airpods. i only need to put  in to cancel out any background noise. they have long battery life and they came with the airpods and a charger for the airpods. if i lose these ones ill definitely be order from here again!,positive,need put cancel background noise long battery life came charger lose one ill definitely order
a good sounding solid earbud,positive,good sounding solid earbud
todo excelente como todo con amazon,positive,todo excelente como todo con amazon
missing,positive,missing
it finishes fast i think its better buy them from apple store,positive,finish fast think better buy store
my son loves these!,positive,son love
good,positive,good
love the rich sound! great value.,positive,rich sound great value
ok,positive,ok
"great sound, and long battery life.",positive,great sound long battery life
muito naice,positive,muito naice
good,positive,good
much better than the standing corded ear buds. great sound and easy to use.,positive,much better standing corded ear bud great sound easy use
i use it to look videos and for call.,positive,use look video call
bought the first gen when it first came out and the batteries finally gave after years of service. i decided to get another pair and they work great.,positive,bought first gen first came battery finally gave year service decided get another pair work great
"they worked great. just a little uncomfortable, but not much.",positive,worked great little uncomfortable much
how do they know when i put them in my ear multiquestion  ,positive,know put ear multiquestion
everyone on the bus had these airpods and i just wanted to fit in. so happy that i can now! thank you apple,positive,everyone bus wanted fit happy thank
i used these to go to the gym noise cancellation was a positive ! so easy to have in handy. charger can be used to for i phone too,positive,used go gym noise cancellation positive easy handy charger used phone
the only thing i do not like is that the touch isnt working on the pods.,positive,thing like touch isnt working pod
all that you indicate,positive,indicate
i love these airpods. the quality of the sound is really good and the battery lifespan is more than  days! of course this depends on how often and for how long you use them but still i think it is an excellent product!,positive,quality sound really good battery lifespan day course depends often long use still think excellent product
"me encantan, sonido increble,",positive,encantan sonido increble
missing,positive,missing
i cannot believe i waited so long to get these. cannot live without them,positive,believe waited long get live without
"i like it, i use it every time i do my walk.i do not have to worry tackling it.",positive,like use every time walki worry tackling
i have all the bells and whistles in my car but when i am not i used these for calls. it is much easier than holding a cell phone in your hand while you are walking multistop the price was about $ less than at the local best buy.,positive,bell whistle car used call much easier holding cell phone hand walking multistop price le local best buy
thanks all is good very fast delivery,positive,thanks good fast delivery
"pienso que el manejo opertico del producto es muy bueno, sin embargo, lo tctil no se logra entender bien. deben explicar por medio de videos.",positive,pienso que el manejo opertico del producto e muy bueno sin embargo lo tctil se logra entender bien deben explicar por medio de video
missing,positive,missing
just needed a new pair. forgot how hood they sound new lol,positive,needed new pair forgot hood sound new lol
espectacular,positive,espectacular
missing,positive,missing
exactly what i was looking for.  would purchase again.,positive,exactly looking would purchase
"vale mucho la pena, excelente audio y cancelacin de sonido",positive,vale mucho la pena excelente audio cancelacin de sonido
missing,positive,missing
good item,positive,good item
just what you expect.,positive,expect
,positive,
st. pair of wireless ear pods. i love them! great buy,positive,st pair wireless ear pod great buy
"had the st generation ear pods, but always hurt my ears! but these i can work with them almost all day without my ears getting sore multiexclamation ",positive,st generation ear pod always hurt ear work almost day without ear getting sore multiexclamation
these airpods feel very comfortable in my ear versus the airpods pro; the only downfall is the noise cancellation is not as good as the pro is nor is the battery life.,positive,feel comfortable ear versus pro downfall noise cancellation good pro battery life
i loved that i could have conversations while machines are running this was a bonus for me,positive,loved could conversation machine running bonus
i really hate the new earbuds that are silicone and dig into your ears. these guys last for what feels like days and are somewhat east to clean.i love the option to turn off ear detection so they are on as soon as you pull them from the case and only take a second to connect to my phone,positive,really hate new earbuds silicone dig ear guy last feel like day somewhat east cleani option turn ear detection soon pull case take second connect phone
good,positive,good
i think this one is one of the best buys i made this year. i replace the very same model from . and i resell the used ones. it happens to maintain the price intact. it is really great.,positive,think best buy made year replace model resell used one happens maintain price intact really great
i like it,positive,like
connects to the phone perfectly and effortlessly.,positive,connects phone perfectly effortlessly
like them,positive,like
love  apple products,positive,product
these really do make the music clearer. i have had wired earbuds before and these really do improve the sound quality.,positive,really make music clearer wired earbuds really improve sound quality
"they work, they was easy to connect, and they came to me charged! recommend yes",positive,work easy connect came charged recommend yes
sounds great,positive,sound great
excellent quality.  i am enjoying using them at the gym and on my daily walks.,positive,excellent quality enjoying using gym daily walk
would definitely buy again.cant live without them,positive,would definitely buy againcant live without
the quality of the sound was very good. the battery life is long.,positive,quality sound good battery life long
great product and easy to use!,positive,great product easy use
they work wonderfully and the price is very reasonable.,positive,work wonderfully price reasonable
"in the  is i thought apple is computers were novel. since then i avoid apple products for the most part (long story). i recognize their innovation. i purchased a pair of apple is $ wired pods for the gym, primarily because they were inexpensive. i was impressed with the sound for such an inexpensive price, but the wire from the pods just got in the way at the gym. prior to this purchase i bought another pair of buds, i was sadly disappointed. i figured i would give the apple pods a try kind of expecting the same sound quality as the wired pods, but wireless. wow, these are so much better, the bass is warm, the mid and highs are crisp but not harsh or fatiguing, these are amazingly good. still not an apple fan, but i do give credit where credit is due. i would buy these again.",positive,thought computer novel since avoid product part long story recognize innovation purchased pair wired pod gym primarily inexpensive impressed sound inexpensive price wire pod got way gym prior purchase bought another pair bud sadly disappointed figured would give pod try kind expecting sound quality wired pod wireless wow much better bass warm mid high crisp harsh fatiguing amazingly good still fan give credit credit due would buy
"really reliable, use em everywhere bro bro.",positive,really reliable use em everywhere bro bro
nice ear fit nice sound and loud i highly recommend to spend  dollars,positive,nice ear fit nice sound loud highly recommend spend dollar
"sound quality is exactly the same as the traditional apple earbuds with the wire. wireless sync is a breeze, and the quality of the product is good. if you are looking for a strong bass, this doesnt have it though. skull-candy, jbl, or beats would be your best bet if you like a lot of bass. the sound quality isnt bad at all though. / from me.",positive,sound quality exactly traditional earbuds wire wireless sync breeze quality product good looking strong bass doesnt though skullcandy jbl beat would best bet like lot bass sound quality isnt bad though
sent them back because lost pair was found,positive,sent back lost pair found
sound is great! i use these for music and u tube videos. the mic sound is fair. took a little while to figure out how to set up the mic. i consider myself average tech savvy.,positive,sound great use music u tube video mic sound fair took little figure set mic consider average tech savvy
love it. works great,positive,work great
"very clear music and talk, i wish my hearing aids worked this good",positive,clear music talk wish hearing aid worked good
i brought these on a whim after deciding not jump on the wagon. i was surprised to find that i like them but i mostly use them at night to listen to content on the way to sleep. i have found they do not maintain a charge for longer than - hours. other than that- no complaints. decent enough but i have had others that held a charge for at least  hours.,positive,brought whim deciding jump wagon surprised find like mostly use night listen content way sleep found maintain charge longer hour complaint decent enough others held charge least hour
"they sound great, are easy to charge and store, the batteries last a very long time, and the noise canceling feature works very well. they are really easy to connect to any device too. but they have a tendency to fall out of my ear, and that costs them a star. maybe it is just my particular ears, but almost every time i use them, one manages to fall out and hit the ground at some point. because of that, i have to be careful where i use them. motorcycle rides and river activities are out of the question. once one fell out while i was on the riding mower, and it took me about ten very stressful minutes to find it. i have since learned that it helps to wrap a bandanna around my head and ears when mowing. unfortunately this is not a perfect solution either, as the other day one still managed to fall out and hit the ground when mowing. fortunately i found it right away that time.thank goodness they certainly do seem to be very durable. my kid is airpod pros got washed and dried, and they still worked! i heard them clanking around in the drier for  minutes, but thought it was just a nickel or something.anyway, for around the house or office they are great. but do not think you can trust them to go anywhere.",positive,sound great easy charge store battery last long time noise canceling feature work well really easy connect device tendency fall ear cost star maybe particular ear almost every time use manages fall hit ground point careful use motorcycle ride river activity question fell riding mower took ten stressful minute find since learned help wrap bandanna around head ear mowing unfortunately perfect solution either day still managed fall hit ground mowing fortunately found away timethank goodness certainly seem durable kid airpod pro got washed dried still worked heard clanking around drier minute thought nickel somethinganyway around house office great think trust go anywhere
much needed but they slip out. slight worries that ill loose one or both.,positive,much needed slip slight worry ill loose
"i use the airpods to listen to music during class, and anywhere i go",positive,use listen music class anywhere go
awesome,positive,awesome
for those saying it was fake multiexclamation  shame on you for trying to scam the system! karma will find you one way or another multiexclamation  i was sketchy to purchase based on some reviews! you can return them- if you are not happy with nd generation. other than that do not listen to the bogus reviews wanting + dollars back. they are real and work great.  they are not refurbished. but brand new! i love them .scandalous people out there! shame on you! my only complaint is all you  apple users how can you find these comfy multiquestion  i bought them for work- business phone came with my incredible job and i need % privacy,positive,saying fake multiexclamation shame trying scam system karma find way another multiexclamation sketchy purchase based review return happy nd generation listen bogus review wanting dollar back real work great refurbished brand new scandalous people shame complaint user find comfy multiquestion bought work business phone came incredible job need privacy
new and original multiexclamation ,positive,new original multiexclamation
great earbuds,positive,great earbuds
good quality,positive,good quality
these airpods are very good for everyday usebut do not use it for androids phoneseven after pairing i need to select airpods for every connection,positive,good everyday usebut use android phoneseven pairing need select every connection
sound quality is good  and love how easy it is to use,positive,sound quality good easy use
i bought a cheap pair at a big box store and they did not last long.  sometimes quality is worth paying for.  i am much happier with these.  good sound quality and good battery life.,positive,bought cheap pair big box store last long sometimes quality worth paying much happier good sound quality good battery life
have to constantly fix in my ears when walking.,positive,constantly fix ear walking
"the sound is good and all, just do not drop them because they scratch easily unfortunately.",positive,sound good drop scratch easily unfortunately
love it but does not last  hours,positive,last hour
missing,positive,missing
                    the media could not be loaded.                ,positive,medium could loaded
everything is wonderful,positive,everything wonderful
"so far the airpods are great multiexclamation  they came in a new apple package, with a charger, and its perfectly new no scratches scuffs or anything! really satisfied with my order",positive,far great multiexclamation came new package charger perfectly new scratch scuff anything really satisfied order
es un buen producto los recomiendo calidad y sonido,positive,e un buen producto los recomiendo calidad sonido
missing,positive,missing
