rating,reviews,cleaned_review
positive,"fast, lightweight beauty perfect for my daughter who is a student.",fast lightweight beauty perfect daughter student
positive,"the answer is yes! after  years of using (and building) pcs, i switched to an  inch imac. i needed better accessibility features than windows could provide. the chance was easier than i anticipated and i have found no reason to use windows emulators. in the past, i have enjoyed the convenience of having a laptop. but i just could not see them well enough anymore. so i took a leap of faith spurred on by a great amazon deal at $.setup was very easy multistop  it just cloned everything on my imac that i wanted to transfer over.  the screen is bright and easy to see even for me. the keyboard feels good and the trackpad works well. there is a fingerprint id to unlock it multistop  very convenient.this is the m macbook air. i purchased it shortly after the m macbook air came out. it was  months old but that is what provided the exceptional price. the m based macbook would be faster and offered magsafe charging, and a brighter display. there were also several handy ports lacking on the m model. but the m has an overheating problem that the m does not. i did not think these features were work several hundred more dollars.this m macbook is fast enough and has reasonably good battery life. but there are a few drawbacks that i was aware of before i made the purchase:the only ports are a headphone jack and two thunderbolt connectors. to solve this issue, i bought a small dock.you are buying the base model with a g solid state drive. this is less than ideal but there are workarounds. first, you can purchase an inexpensive drive (solid state if possible) and offload some things to that drive. another option is to upgrade your icloud storage to gb for . cents a month.is this a good deal? the answer is yes!",answer yes year using building pc switched inch imac needed better accessibility feature window could provide chance easier anticipated found reason use window emulator past enjoyed convenience could see well enough anymore took leap faith spurred amazon deal setup easy multistop cloned everything imac wanted transfer screen bright easy see even keyboard feel good trackpad work well fingerprint id unlock multistop convenientthis purchased shortly came month old provided exceptional price based would faster offered magsafe charging brighter display also several handy port lacking model overheating problem think feature work several hundred dollarsthis fast enough reasonably good battery life drawback aware made purchasethe port headphone jack two thunderbolt connector solve issue bought small dockyou buying base model g solid state drive le ideal workarounds first purchase inexpensive drive solid state possible offload thing drive another option upgrade icloud storage gb cent monthis good deal answer yes
positive,"great laptop we are big fans of apple products, especially their laptops. i was looking for a low cost upgrade from an old   macbook pro that lasted a very long time. this m macbook air was a perfect replacement, especially on a black friday sale. its incredibly fast for all we use it for, and has a good battery life. much more portable than the old laptop we came from. overall, it got me up to modern day technology without spending for the latest and greatest. very happy!",big fan product especially laptop looking low cost upgrade old pro lasted long time perfect replacement especially black friday sale incredibly fast use good battery life much portable old came overall got modern day technology without spending latest greatest happy
positive,gotta love amazon multiexclamation  honestly i have twins and bought them both this as a graduation gift from high school to have in college and could not afford to just outright buy two but amazon came to our rescue and we made extremely affordable payments! thank you amazon multiexclamation  the twins love them multiexclamation ,got ta love amazon multiexclamation honestly twin bought graduation gift high school college could afford outright buy two amazon came rescue made extremely affordable payment thank amazon multiexclamation twin love multiexclamation
positive,laptop ordered this for my granddaughter to use for her college classes.  she was very pleased with it when it arrived.  would definitely order again.  very nice product.,ordered granddaughter use college class pleased arrived would definitely order nice product
positive,excellent this laptop was renewed and arrived in excellent condition. it looks brand new and is working great!,excellent renewed arrived excellent condition look brand new working
positive,performance very satisfied. looks great. works great.,performance satisfied look work
positive,"my first mac is great intuitive, easy to use",first intuitive easy use
positive,"outstanding i bought this  macbook air ( gb ram,  gb ssd storage) to replace a  macbook air (gb ram,  gb ssd storage).  i am undeniably a fan of apple products in general, because they work with little fuss and are built to last (note that my old macbook air is more than  years old and still working perfectly).  although i have been underwhelmed by some mac models in recent years, this one is stellar imho.  unless you have very heavy system requirements this machine would be an excellent choice.the m processor is very impressive, delivering outstanding performance and power/thermal efficiency simultaneously.  battery life is every bit as good as advertised; i can charge overnight and use it all day without plugging in.  connecting usb devices such as external drives will shorten battery life, but that is to be expected.  i love the fanless design, which means the machine is absolutely silent at all times, while the thermal efficiency of the m chip allows it to remain amazingly cool.  in use, this computer feels very fast, especially with apps optimized for apple processors (as macos big sur is).  interestingly, microsoft has been on board early with m optimization; the latest office  version is smooth and fast on this machine.  i also tried out ms edge on my new laptop based on a recommendation from another user and have been so pleased with its speed and efficiency that it is my current default browser.  the touch id and apple pay capability is a welcome addition.the only cons i see are minor in my opinion.  because ram is integrated into the m processor, post-purchase memory expansion is not possible; if you think you will need  gb of memory that model can be had from the apple store.  there has been criticism of the fact that this machine has only two ports, which is fair.  for me that is not insurmountable; i simply use a usb-c hub to provide additional connectivity.  i have read recently that some users have had certain hubs cause problems with their m macs, which appears to be related to battery charging through these hubs.  to be on the safe side i use a built-in port for charging and have had no issues.reading through the relative handful of critical reviews, it looks to me like most (excluding actual defects, which happen with all products) are based on lack of understanding.  for example, i saw a large number of reviews complaining that this machine ""has no usb ports multiexclamation "", which is patently false.  in fact, its two ports are both usb, they just require a different connector.  what these users are looking for is the old usb-a connectors, which this macbook does not have; however, that is easily fixed by using a usb-a to usb-c converter cable, or with a usb-c hub.  usb-a peripherals are gradually disappearing as well, in favor of the new connector.all things considered, i really love this machine.  the $ price (at the time i bought mine) was $ less than i would have paid at the apple store, and i believe i can probably get $ on ebay for my old macbook air (try that with a -year-old pc!) leaving me with a total outlay of $.  considering that i will almost certainly get  or more years use out of this model, i'm very happy with my purchase and would do it again.",outstanding bought gb ram gb ssd storage replace gb ram gb ssd storage undeniably fan product general work little fuss built last note old year old still working perfectly although underwhelmed model recent year one stellar imho unless heavy system requirement machine would excellent choicethe processor impressive delivering outstanding performance powerthermal efficiency simultaneously battery life every bit good advertised charge overnight use day without plugging connecting usb device external drive shorten battery life expected love fanless design mean machine absolutely silent time thermal efficiency chip allows remain amazingly cool use feel fast especially apps optimized processor macos big sur interestingly microsoft board early optimization latest office version smooth fast machine also tried m edge new based recommendation another user pleased speed efficiency current default browser touch id pay capability welcome additionthe con see minor opinion ram integrated processor postpurchase memory expansion possible think need gb memory model store criticism fact machine two port fair insurmountable simply use usbc hub provide additional connectivity read recently user certain hub cause problem mac appears related battery charging hub safe side use builtin port charging issuesreading relative handful critical review look like excluding actual defect happen product based lack understanding example saw large number review complaining machine usb port multiexclamation patently false fact two port usb require different connector user looking old usba connector however easily fixed using usba usbc converter cable usbc hub usba peripheral gradually disappearing well favor new connectorall thing considered really love machine price time bought mine le would paid store believe probably get ebay old try yearold leaving total outlay considering almost certainly get year use model im happy purchase would
positive,good laptop very nice,good nice
positive,macbook needs better charging ports,need better charging port
positive,"great for creators. the only regret is not doing enough research first. my needs call for a pro. i push this computer to the max, but its still faster than windows.",creator regret enough research first need call pro push max still faster window
positive,"it is a macbook i'm no tech expert. the last laptop i owned was a  macbook pro (-inch), which i used daily until the battery became too weak to hold a charge for more than a couple of hours. that is normal after you have gone through the standard  recharge cycles and seven years of use. it served me well.i pretty much only use this thing to write amazon reviews and so far it is doing the job well. i will say the air is the lowest model of the macbooks and i bought the  m model rather than the newest one available for . going from a  pro, i noticed this machine is noticeably stronger in performance. it is also lighter and quieter because it has no cooling fans (does not really heat up so it does not need them).my only real complaint i will say at this point is the lack of ports. you get two usb-c ports and a regular headphone jack. i'm glad they at least decided to keep the headphone jack. so you will most likely need to buy a dongle or some adapter to expand your ports which then makes the laptop clunky and less portable.i will finish with this - if you do not know the pros and cons of buying an apple vs non-apple (usually windows-based) laptop, definitely look that up. there are basics you should know like apple is not gaming-friendly and installing software in their os vs windows is quite different.",im tech expert last owned pro inch used daily battery became weak hold charge couple hour normal gone standard recharge cycle seven year use served welli pretty much use thing write amazon review far job well say lowest model macbooks bought model rather newest one available going pro noticed machine noticeably stronger performance also lighter quieter cooling fan really heat need themmy real complaint say point lack port get two usbc port regular headphone jack im glad least decided keep headphone jack likely need buy dongle adapter expand port make clunky le portablei finish know pro con buying v nonapple usually windowsbased definitely look basic know like gamingfriendly installing software o v window quite different
positive,"exceptional little laptop, with incredible battery life. its been a few years since ive purchased a macbook as i have anas i have been using windows laptops the past seven or eight years. my intent for using this one was for a consulting business i am a part of doing teaching presentations, etc. i wanted something that was small and traveled easy but also durable. using this was a pleasure from the keyboard to the color and clarity of the screen. it feels good in the hand and seems like a very premium and quality product  i use this laptop for a job one day recently and literally at full brightness for around  / hours on its battery. what i found is i liked it so much that i added more applications to make this my daily laptop but the standard  gb it came with just wasnt enough. i was getting ram full warnings at least once or twice a day. i have since given this laptop to my wife who had a  air and have purchased a new  gb m version for myself. as nice and robust, and as good looking as this laptop, is i highly recommend it but if you think for a moment that you might need extra ram, go ahead and bump up to the next level. in my opinion, this is the best $ laptop on the market with the best battery life and quality overall.",exceptional little incredible battery life year since ive purchased ana using window laptop past seven eight year intent using one consulting business part teaching presentation etc wanted something small traveled easy also durable using pleasure keyboard color clarity screen feel good hand seems like premium quality product use job one day recently literally full brightness around hour battery found liked much added application make daily standard gb came wasnt enough getting ram full warning least twice day since given wife purchased new gb version nice robust good looking highly recommend think moment might need extra ram go ahead bump next level opinion best market best battery life quality overall
